Type,BROTEC,ARTTRID,Fire,Topo,D_BOUND,D_ROADS,Topo2,D_BOUND.s,D_ROADS.s,ARTTRID.PA,ARTTRID.mid,BROTEC.PA,BROTEC.mid
Train,3,0,1,0.2216,338.5935638,351.9864831,0.04910656,0.338593564,3.519864831,1,0,0,0.375
Train,2,0,1,0.1883,899.768199,401.0509545,0.03545689,0.899768199,4.010509545,1,0,0,0.15
Train,0,0,0,0.0413,90.52049503,580.5903875,0.00170569,0.090520495,5.805903875,1,0,1,0
Train,2,0,1,0.243,493.1119291,504.0801054,0.059049,0.493111929,5.040801054,1,0,0,0.15
Train,1,2,1,0.0082,202.268062,550.6570031,6.72E-05,0.202268062,5.506570031,0,0.15,0,0.025
Train,2,0,1,0.0133,353.5514331,1183.76933,0.00017689,0.353551433,11.8376933,1,0,0,0.15
Train,4,0,1,-0.1385,21.21650615,924.1078288,0.01918225,0.021216506,9.241078288,1,0,0,0.625
Train,1,0,1,-0.0316,147.0344303,93.76757317,0.00099856,0.14703443,0.937675732,1,0,0,0.025
Train,4,0,1,-0.0634,143.5517525,159.0800547,0.00401956,0.143551753,1.590800547,1,0,0,0.625
Train,0,0,1,0.02,166.4936407,36.48972743,4.00E-04,0.166493641,0.364897274,1,0,1,0
Train,3,0,1,-0.1041,240.1670308,171.8392929,0.01083681,0.240167031,1.718392929,1,0,0,0.375
Train,4,0,1,0.1523,298.059735,42.10714767,0.02319529,0.298059735,0.421071477,1,0,0,0.625
Train,2,0,1,-0.1449,407.3944136,415.5357653,0.02099601,0.407394414,4.155357653,1,0,0,0.15
Train,1,0,1,-0.1026,528.1162501,806.2190849,0.01052676,0.52811625,8.062190849,1,0,0,0.025
Train,3,0,1,0.0253,41.08565761,390.6660857,0.00064009,0.041085658,3.906660857,1,0,0,0.375
Train,1,0,1,0.023,196.4371524,210.9385053,0.000529,0.196437152,2.109385053,1,0,0,0.025
Train,2,0,1,-0.0061,344.1927994,356.5705719,3.72E-05,0.344192799,3.565705719,1,0,0,0.15
Train,2,0,1,0.0023,110.367656,508.5705171,5.29E-06,0.110367656,5.085705171,1,0,0,0.15
Train,2,0,1,-0.0477,159.1397009,638.0508459,0.00227529,0.159139701,6.380508459,1,0,0,0.15
Train,3,0,1,-0.2289,173.7581083,166.2826079,0.05239521,0.173758108,1.662826079,1,0,0,0.375
Train,2,0,1,-0.1341,182.3157961,1258.069237,0.01798281,0.182315796,12.58069237,1,0,0,0.15
Train,3,0,1,-0.0705,316.1858124,70.33024047,0.00497025,0.316185812,0.703302405,1,0,0,0.375
Train,3,0,1,-0.2061,139.4391591,161.5432943,0.04247721,0.139439159,1.615432943,1,0,0,0.375
Train,1,0,1,0.0142,427.5585992,892.5028345,0.00020164,0.427558599,8.925028345,1,0,0,0.025
Train,3,0,1,-0.058,551.9508476,918.6194655,0.003364,0.551950848,9.186194655,1,0,0,0.375
Train,4,0,1,0.0017,57.67189674,426.2239782,2.89E-06,0.057671897,4.262239782,1,0,0,0.625
Train,2,0,1,-0.1764,385.7294769,371.0245627,0.03111696,0.385729477,3.710245627,1,0,0,0.15
Train,3,2,1,-0.0365,159.0504521,492.7366809,0.00133225,0.159050452,4.927366809,0,0.15,0,0.375
Train,3,0,1,-0.1317,93.7420579,110.3467146,0.01734489,0.093742058,1.103467146,1,0,0,0.375
Train,3,0,1,-0.0912,155.5100402,1230.684652,0.00831744,0.15551004,12.30684652,1,0,0,0.375
Train,0,0,1,-0.0444,27.19240271,31.87629552,0.00197136,0.027192403,0.318762955,1,0,1,0
Train,1,0,1,0.111,266.1005955,248.6858795,0.012321,0.266100596,2.486858795,1,0,0,0.025
Train,4,0,1,-0.1148,48.86040148,837.4084246,0.01317904,0.048860401,8.374084246,1,0,0,0.625
Train,1,0,1,-0.0967,257.6380917,247.2295399,0.00935089,0.257638092,2.472295399,1,0,0,0.025
Train,2,0,1,-0.0196,102.7240972,255.7047713,0.00038416,0.102724097,2.557047713,1,0,0,0.15
Train,2,0,1,-0.0802,52.62128509,54.53347961,0.00643204,0.052621285,0.545334796,1,0,0,0.15
Train,4,0,1,-0.0834,157.4024463,168.7393426,0.00695556,0.157402446,1.687393426,1,0,0,0.625
Train,3,0,1,0.2606,476.6827354,489.2662913,0.06791236,0.476682735,4.892662913,1,0,0,0.375
Train,2,0,1,0.0747,56.32615166,451.9864557,0.00558009,0.056326152,4.519864557,1,0,0,0.15
Train,2,0,1,0.1067,281.9364542,59.0736901,0.01138489,0.281936454,0.590736901,1,0,0,0.15
Train,2,0,1,-0.131,257.8901386,562.857748,0.017161,0.257890139,5.62857748,1,0,0,0.15
Train,1,0,1,-0.3016,668.6069498,400.5151946,0.09096256,0.66860695,4.005151946,1,0,0,0.025
Train,3,0,1,-0.2277,162.3872622,170.7651327,0.05184729,0.162387262,1.707651327,1,0,0,0.375
Train,3,0,1,-0.0891,368.4920455,836.6296997,0.00793881,0.368492046,8.366296997,1,0,0,0.375
Train,2,0,1,-0.1988,685.7177163,702.7360187,0.03952144,0.685717716,7.027360187,1,0,0,0.15
Train,2,0,1,-0.0643,138.7904016,671.3664618,0.00413449,0.138790402,6.713664618,1,0,0,0.15
Train,0,0,0,0.2521,38.70806119,183.0077263,0.06355441,0.038708061,1.830077263,1,0,1,0
Train,3,0,1,-0.323,468.4602841,917.1629847,0.104329,0.468460284,9.171629847,1,0,0,0.375
Train,2,0,1,-0.3556,101.7217022,697.8018926,0.12645136,0.101721702,6.978018926,1,0,0,0.15
Train,4,2,1,-0.1739,28.65517026,60.21707146,0.03024121,0.02865517,0.602170715,0,0.15,0,0.625
Train,2,0,1,-0.2004,581.8660716,663.7493893,0.04016016,0.581866072,6.637493893,1,0,0,0.15
Train,4,0,1,-0.2172,322.6627977,636.653915,0.04717584,0.322662798,6.36653915,1,0,0,0.625
Train,5,0,1,0.0967,739.0623578,117.8338138,0.00935089,0.739062358,1.178338138,1,0,0,0.85
Train,3,0,1,0.0132,127.428196,30.22960604,0.00017424,0.127428196,0.30229606,1,0,0,0.375
Train,5,0,1,-0.1529,544.7910515,773.5772246,0.02337841,0.544791052,7.735772246,1,0,0,0.85
Train,3,0,1,-0.2162,135.5697975,557.3919543,0.04674244,0.135569798,5.573919543,1,0,0,0.375
Train,4,0,1,-0.2472,342.528521,376.6945684,0.06110784,0.342528521,3.766945684,1,0,0,0.625
Train,3,0,1,-0.0739,325.3940625,291.5645164,0.00546121,0.325394063,2.915645164,1,0,0,0.375
Train,3,0,1,0.0421,357.6108137,966.7068301,0.00177241,0.357610814,9.667068301,1,0,0,0.375
Train,0,0,1,-0.1293,586.238818,604.9092468,0.01671849,0.586238818,6.049092468,1,0,1,0
Train,0,0,0,-0.0868,170.3383653,304.3174908,0.00753424,0.170338365,3.043174908,1,0,1,0
Train,2,0,0,-0.0784,214.5883698,374.7300103,0.00614656,0.21458837,3.747300103,1,0,0,0.15
Train,1,0,1,-0.1405,547.2506609,263.86031,0.01974025,0.547250661,2.6386031,1,0,0,0.025
Train,2,0,1,-0.1166,426.2011012,436.1111552,0.01359556,0.426201101,4.361111552,1,0,0,0.15
Train,1,0,1,0.0764,460.9978485,844.2109189,0.00583696,0.460997849,8.442109189,1,0,0,0.025
Train,1,1,0,0.0949,330.7081938,7.05766134,0.00900601,0.330708194,0.070576613,0,0.025,0,0.025
Train,4,0,1,0.011,565.9693901,843.7065634,0.000121,0.56596939,8.437065634,1,0,0,0.625
Train,5,0,1,-0.1419,55.22192226,126.4242656,0.02013561,0.055221922,1.264242656,1,0,0,0.85
Train,1,0,1,-0.0531,237.9633603,527.58099,0.00281961,0.23796336,5.2758099,1,0,0,0.025
Train,2,0,1,0.2213,688.9578454,631.3660756,0.04897369,0.688957845,6.313660756,1,0,0,0.15
Train,2,0,1,0.0551,155.4438492,277.9448914,0.00303601,0.155443849,2.779448914,1,0,0,0.15
Train,1,0,1,0.1631,571.2675345,1083.435939,0.02660161,0.571267535,10.83435939,1,0,0,0.025
Train,1,0,1,-0.3716,494.9805799,360.0463436,0.13808656,0.49498058,3.600463436,1,0,0,0.025
Train,3,0,1,-0.0307,739.8445064,597.4990527,0.00094249,0.739844506,5.974990527,1,0,0,0.375
Train,3,0,1,-0.2865,283.9259793,1112.23553,0.08208225,0.283925979,11.1223553,1,0,0,0.375
Train,4,0,1,-0.183,335.3451757,64.99545925,0.033489,0.335345176,0.649954593,1,0,0,0.625
Train,3,0,1,-0.3444,715.72073,655.2424576,0.11861136,0.71572073,6.552424576,1,0,0,0.375
Train,2,0,1,-0.1193,202.3728962,459.7438739,0.01423249,0.202372896,4.597438739,1,0,0,0.15
Train,2,3,1,-0.0311,488.8413117,421.5783265,0.00096721,0.488841312,4.215783265,0,0.375,0,0.15
Train,2,0,1,-0.2735,267.2139899,187.5895833,0.07480225,0.26721399,1.875895833,1,0,0,0.15
Train,0,0,1,-0.11,812.4962429,528.9159451,0.0121,0.812496243,5.289159451,1,0,1,0
Train,3,0,0,-0.2238,26.00449738,882.2403108,0.05008644,0.026004497,8.822403108,1,0,0,0.375
Train,2,1,0,-0.2694,326.1323459,466.341278,0.07257636,0.326132346,4.66341278,0,0.025,0,0.15
Train,1,0,1,-0.124,105.6074656,185.5077745,0.015376,0.105607466,1.855077745,1,0,0,0.025
Train,3,0,1,-0.2456,430.0215934,706.4277059,0.06031936,0.430021593,7.064277059,1,0,0,0.375
Train,2,0,1,0.086,456.8340844,463.3637155,0.007396,0.456834084,4.633637155,1,0,0,0.15
Train,2,0,1,-0.1774,579.4913547,749.7701826,0.03147076,0.579491355,7.497701826,1,0,0,0.15
Train,2,0,1,-0.161,279.5245104,724.0082634,0.025921,0.27952451,7.240082634,1,0,0,0.15
Train,5,0,1,-0.2731,449.4156949,879.6661327,0.07458361,0.449415695,8.796661327,1,0,0,0.85
Train,2,0,1,-0.3154,487.4576691,719.2827182,0.09947716,0.487457669,7.192827182,1,0,0,0.15
Train,3,0,1,-0.129,339.6318784,757.3677145,0.016641,0.339631878,7.573677145,1,0,0,0.375
Train,4,0,1,-0.005,360.4233179,407.6862727,2.50E-05,0.360423318,4.076862727,1,0,0,0.625
Train,3,0,0,0.0642,289.5084099,462.0335338,0.00412164,0.28950841,4.620335338,1,0,0,0.375
Train,3,0,1,-0.0798,578.0409129,1019.772636,0.00636804,0.578040913,10.19772636,1,0,0,0.375
Train,3,0,1,-0.1316,493.9004336,888.4146306,0.01731856,0.493900434,8.884146306,1,0,0,0.375
Train,3,0,1,-0.287,77.32084047,167.6460313,0.082369,0.07732084,1.676460313,1,0,0,0.375
Train,1,0,1,-0.4098,218.4944132,235.3589301,0.16793604,0.218494413,2.353589301,1,0,0,0.025
Train,2,0,0,-0.1275,349.1269529,503.2062148,0.01625625,0.349126953,5.032062148,1,0,0,0.15
Train,2,0,0,-0.1711,470.8095131,246.0047444,0.02927521,0.470809513,2.460047444,1,0,0,0.15
Train,3,0,1,-0.1643,289.8114165,256.4954727,0.02699449,0.289811417,2.564954727,1,0,0,0.375
Train,4,0,1,-0.2134,843.9857709,620.6797032,0.04553956,0.843985771,6.206797032,1,0,0,0.625
Train,3,0,1,-0.2198,253.874315,278.9229696,0.04831204,0.253874315,2.789229696,1,0,0,0.375
Train,2,0,1,-0.0269,347.3336189,598.4300573,0.00072361,0.347333619,5.984300573,1,0,0,0.15
Train,3,0,0,-0.1907,95.23265729,101.2425895,0.03636649,0.095232657,1.012425895,1,0,0,0.375
Train,1,0,1,0.2514,702.4705048,454.6400899,0.06320196,0.702470505,4.546400899,1,0,0,0.025
Train,3,1,1,0.1355,393.7083505,880.4516884,0.01836025,0.393708351,8.804516884,0,0.025,0,0.375
Train,3,0,1,0.1048,105.7893967,821.7088105,0.01098304,0.105789397,8.217088105,1,0,0,0.375
Train,1,0,0,0.0067,454.4807154,595.6945651,4.49E-05,0.454480715,5.956945651,1,0,0,0.025
Train,0,0,1,0.1422,210.7376375,985.8228529,0.02022084,0.210737638,9.858228529,1,0,1,0
Train,4,3,1,0.1336,68.51898603,853.8922644,0.01784896,0.068518986,8.538922644,0,0.375,0,0.625
Train,1,0,1,-0.0046,347.3811382,1110.371568,2.12E-05,0.347381138,11.10371568,1,0,0,0.025
Train,1,0,0,-0.188,305.2822229,309.2940687,0.035344,0.305282223,3.092940687,1,0,0,0.025
Train,1,0,1,0.3193,467.7506081,637.744575,0.10195249,0.467750608,6.37744575,1,0,0,0.025
Train,2,0,1,-0.1669,178.8728637,607.0217863,0.02785561,0.178872864,6.070217863,1,0,0,0.15
Train,3,0,1,0.2602,334.0297119,141.1151482,0.06770404,0.334029712,1.411151482,1,0,0,0.375
Train,5,0,1,0.2796,273.407049,701.3825696,0.07817616,0.273407049,7.013825696,1,0,0,0.85
Train,4,0,1,-0.0215,144.7639696,973.3399332,0.00046225,0.14476397,9.733399332,1,0,0,0.625
Train,2,0,0,-0.065,318.3793498,319.5270444,0.004225,0.31837935,3.195270444,1,0,0,0.15
Train,5,0,1,0.2811,108.4915732,1027.468427,0.07901721,0.108491573,10.27468427,1,0,0,0.85
Train,1,0,1,-0.0945,357.2663293,521.9693517,0.00893025,0.357266329,5.219693517,1,0,0,0.025
